Load_Port,Item_Class,ETD_Yr,ETD_Day,ETD_Mth,ETA_Yr,ETD_Day_1,ETD_Mth_1,Sum_Shipped_Msr,Load_port_1,HK_Prev_diff_ETD,HK_Prev_diff_ETA,HK_Next_diff_ETD,HK_Next_diff_ETA,UK_Prev_diff_ETD,UK_Prev_diff_ETA,UK_Next_diff_ETD,UK_Next_diff_ETA,prev_Shipped_Msr,prev_ETD_Dte_diff,Transport_Days
BANGLADESH - CHITTAGONG,S-Shorts,2017,2,26,2017,2,26,10.71,BANGLADESH - CHITTAGONG,-26,-56,37,7,-55,-85,47,17,11.84,15,30
BANGLADESH - CHITTAGONG,S-Shorts,2017,3,3,2017,3,3,16.15,BANGLADESH - CHITTAGONG,-31,-63,32,10,-60,-92,42,10,10.71,5,32
BANGLADESH - CHITTAGONG,S-Shorts,2017,3,14,2017,3,14,7.82,BANGLADESH - CHITTAGONG,-42,-66,21,7,-71,-95,31,7,16.15,11,24
BANGLADESH - CHITTAGONG,S-Shorts,2016,3,26,2016,3,26,18.82,BANGLADESH - CHITTAGONG,0,-26,2,10,-1,-24,1,11,29.31,13,26
BANGLADESH - CHITTAGONG,S-Shorts,2016,3,28,2016,3,28,5.86,BANGLADESH - CHITTAGONG,0,-24,7,10,0,-24,35,11,18.82,2,24
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,6,2016,4,6,35.2,BANGLADESH - CHITTAGONG,-2,-29,25,11,-9,-1,26,27,5.86,9,27
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,8,2016,4,8,47.82,BANGLADESH - CHITTAGONG,-4,-37,23,3,-11,-9,24,19,35.2,2,33
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,20,2016,4,20,12.72,BANGLADESH - CHITTAGONG,-16,-46,11,20,-23,-18,12,10,47.82,12,30
BANGLADESH - CHITTAGONG,S-Shorts,2016,4,27,2016,4,27,29.42,BANGLADESH - CHITTAGONG,-23,-52,4,14,-30,-24,5,4,12.72,7,29
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,6,2016,5,6,32.1,BANGLADESH - CHITTAGONG,-4,-31,8,7,-4,-3,24,88,29.42,9,27
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,11,2016,5,11,26.34,BANGLADESH - CHITTAGONG,-9,-37,3,1,-9,-9,19,82,32.1,5,28
BANGLADESH - CHITTAGONG,S-Shorts,2016,5,25,2016,5,25,16.08,BANGLADESH - CHITTAGONG,-11,-31,15,17,-23,-15,5,76,26.34,14,20
BANGLADESH - CHITTAGONG,S-Shorts,2016,8,13,2016,8,13,7.36,BANGLADESH - CHITTAGONG,-43,-73,34,4,-75,-14,16,104,16.08,80,30
BANGLADESH - CHITTAGONG,S-Shorts,2016,12,24,2017,12,24,41.58,BANGLADESH - CHITTAGONG,-75,-101,1,9,-117,-17,1,85,7.36,133,26
BANGLADESH - CHITTAGONG,S-Shorts,2016,12,27,2017,12,27,95.86,BANGLADESH - CHITTAGONG,0,-27,5,5,0,-21,5,81,41.58,3,27
CAMBODIA - SIHANOUKVILLE,A-Accessories,2016,7,3,2016,7,3,79.3,CAMBODIA - SIHANOUKVILLE,-2,-33,75,44,-34,-65,57,26,120.83617,56,31
CAMBODIA - SIHANOUKVILLE,B-Jeans,2016,7,10,2016,7,10,67.06,CAMBODIA - SIHANOUKVILLE,-9,-33,68,44,-41,-65,50,26,78.65,21,24
CAMBODIA - SIHANOUKVILLE,B-Jeans,2016,9,4,2016,9,4,65.25,CAMBODIA - SIHANOUKVILLE,-65,-89,12,3,-6,-30,112,88,67.06,56,24
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,1,8,2017,1,8,15.63,CAMBODIA - SIHANOUKVILLE,-6,-44,20,48,-6,-44,96,58,6.33,147,38
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,2,19,2017,2,19,3.75375,CAMBODIA - SIHANOUKVILLE,-19,-42,44,21,-48,-71,54,31,15.63,42,23
CAMBODIA - SIHANOUKVILLE,C-Trousers,2017,2,26,2017,2,26,8.518125,CAMBODIA - SIHANOUKVILLE,-26,-56,37,7,-55,-85,47,17,3.75375,7,30
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,4,3,2016,4,3,6.81,CAMBODIA - SIHANOUKVILLE,-6,-35,1,12,-6,0,29,28,18.63,21,29
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,3,2016,7,3,23.77,CAMBODIA - SIHANOUKVILLE,-2,-26,75,51,-34,-58,57,33,6.81,91,24
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,10,2016,7,10,0.95,CAMBODIA - SIHANOUKVILLE,-9,-41,68,36,-41,-73,50,18,23.77,7,32
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,24,2016,7,24,71.136,CAMBODIA - SIHANOUKVILLE,-23,-50,54,27,-55,-82,36,9,0.95,14,27
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,7,31,2016,7,31,18.432,CAMBODIA - SIHANOUKVILLE,-30,-57,47,20,-62,-89,29,2,71.136,7,27
CAMBODIA - SIHANOUKVILLE,C-Trousers,2016,8,14,2016,8,14,6.33,CAMBODIA - SIHANOUKVILLE,-44,-76,33,1,-76,-17,15,101,18.432,14,32
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,6,26,2016,6,26,47.93726,CAMBODIA - SIHANOUKVILLE,-17,-41,5,58,-27,-51,64,40,34.42,42,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,3,2016,7,3,25.64,CAMBODIA - SIHANOUKVILLE,-2,-26,75,51,-34,-58,57,33,47.93726,7,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,10,2016,7,10,7.09,CAMBODIA - SIHANOUKVILLE,-9,-41,68,36,-41,-73,50,18,25.64,7,32
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,17,2016,7,17,36.67,CAMBODIA - SIHANOUKVILLE,-16,-43,61,34,-48,-75,43,16,7.09,7,27
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,7,31,2016,7,31,47.04,CAMBODIA - SIHANOUKVILLE,-30,-57,47,20,-62,-89,29,2,36.67,14,27
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,8,28,2016,8,28,114.927246,CAMBODIA - SIHANOUKVILLE,-58,-82,19,10,-90,-23,1,95,47.04,28,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,9,11,2016,9,11,43.68,CAMBODIA - SIHANOUKVILLE,-72,-96,5,4,-13,-37,105,81,114.927246,14,24
CAMBODIA - SIHANOUKVILLE,F-Sweatshirts,2016,9,18,2016,9,18,31.31,CAMBODIA - SIHANOUKVILLE,-2,-26,13,74,-20,-44,98,74,43.68,7,24
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,1,2017,1,1,1.77,CAMBODIA - SIHANOUKVILLE,0,-34,1,59,0,-33,1,69,12.45,14,34
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,15,2017,1,15,1.93,CAMBODIA - SIHANOUKVILLE,-13,-46,13,46,-13,-46,89,56,1.77,14,33
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,22,2017,1,22,51.58,CAMBODIA - SIHANOUKVILLE,-20,-66,6,26,-20,-66,82,36,1.93,7,46
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,1,22,2017,1,22,35.68,CAMBODIA - SIHANOUKVILLE,-20,-66,6,26,-20,-66,82,36,1.93,7,34
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,2,12,2017,2,12,17,CAMBODIA - SIHANOUKVILLE,-12,-38,51,25,-41,-67,61,35,35.68,21,26
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,2,12,2017,2,12,17,CAMBODIA - SIHANOUKVILLE,-12,-38,51,25,-41,-67,61,35,51.58,21,26
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,2,19,2017,2,19,125.02535,CAMBODIA - SIHANOUKVILLE,-19,-42,44,21,-48,-71,54,31,17,7,23
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,2,26,2017,2,26,57.8655,CAMBODIA - SIHANOUKVILLE,-26,-56,37,7,-55,-85,47,17,125.02535,7,30
CAMBODIA - SIHANOUKVILLE,K-Shirts,2017,3,5,2017,3,5,12.72,CAMBODIA - SIHANOUKVILLE,-33,-63,30,10,-62,-92,40,10,57.8655,7,30
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,8,14,2016,8,14,11.904,CAMBODIA - SIHANOUKVILLE,-44,-68,33,9,-76,-9,15,109,10.187964,7,24
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,9,11,2016,9,11,16.6,CAMBODIA - SIHANOUKVILLE,-72,-104,5,73,-13,-45,105,73,11.904,28,32
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,9,25,2016,9,25,8.88,CAMBODIA - SIHANOUKVILLE,-9,-46,6,54,-27,-64,91,54,16.6,14,37
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,10,16,2016,10,16,11.46,CAMBODIA - SIHANOUKVILLE,-6,-45,70,31,-48,-87,70,31,8.88,21,39
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,10,23,2016,10,23,9.61,CAMBODIA - SIHANOUKVILLE,-13,-45,63,31,-55,-87,63,31,11.46,7,32
CAMBODIA - SIHANOUKVILLE,K-Shirts,2016,12,18,2017,12,18,12.45,CAMBODIA - SIHANOUKVILLE,-69,-101,7,9,-111,-17,7,85,9.61,56,32
CAMBODIA - SIHANOUKVILLE,M-Tops,2016,3,13,2016,3,13,33.166848,CAMBODIA - SIHANOUKVILLE,-32,-67,12,14,-72,-20,12,15,47.25,7,35
CAMBODIA - SIHANOUKVILLE,M-Tops,2016,8,14,2016,8,14,10.32,CAMBODIA - SIHANOUKVILLE,-44,-76,33,1,-76,-17,15,101,33.166848,154,32
CAMBODIA - SIHANOUKVILLE,S-Shorts,2017,1,15,2017,1,15,19.12,CAMBODIA - SIHANOUKVILLE,-13,-44,13,48,-13,-44,89,58,22.12,259,31
CAMBODIA - SIHANOUKVILLE,S-Shorts,2017,2,19,2017,2,19,26.784,CAMBODIA - SIHANOUKVILLE,-19,-59,44,4,-48,-88,54,14,19.12,35,40
CAMBODIA - SIHANOUKVILLE,S-Shorts,2016,4,10,2016,4,10,63.74016,CAMBODIA - SIHANOUKVILLE,-6,-33,21,7,-13,-5,22,23,5.13,28,27
CAMBODIA - SIHANOUKVILLE,S-Shorts,2016,5,1,2016,5,1,22.12,CAMBODIA - SIHANOUKVILLE,0,-24,1,15,-34,-23,1,5,63.74016,21,24
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,1,8,2017,1,8,11.24,CAMBODIA - SIHANOUKVILLE,-6,-38,20,54,-6,-38,96,64,8.84,28,32
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,1,15,2017,1,15,20.16,CAMBODIA - SIHANOUKVILLE,-13,-44,13,48,-13,-44,89,58,11.24,7,31
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,1,22,2017,1,22,17.99,CAMBODIA - SIHANOUKVILLE,-20,-54,6,38,-20,-54,82,48,20.16,7,34
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,2,5,2017,2,5,6.2,CAMBODIA - SIHANOUKVILLE,-5,-46,58,17,-34,-75,68,27,17.99,14,41
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,2,12,2017,2,12,30.89,CAMBODIA - SIHANOUKVILLE,-12,-38,51,25,-41,-67,61,35,6.2,7,26
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2017,3,5,2017,3,5,15.25,CAMBODIA - SIHANOUKVILLE,-33,-63,30,10,-62,-92,40,10,30.89,21,30
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2016,7,31,2016,7,31,32.328288,CAMBODIA - SIHANOUKVILLE,-30,-57,47,20,-62,-89,29,2,13.95,28,27
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2016,11,6,2016,11,6,9.43,CAMBODIA - SIHANOUKVILLE,-27,-54,49,22,-69,-96,49,22,32.328288,98,27
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2016,12,4,2016,12,4,29.1,CAMBODIA - SIHANOUKVILLE,-55,-79,21,4,-97,-1,21,4,9.43,28,24
CAMBODIA - SIHANOUKVILLE,Y-Skirts,2016,12,11,2017,12,11,8.84,CAMBODIA - SIHANOUKVILLE,-62,-94,14,16,-104,-10,14,92,29.1,7,32
CHINA - NINGBO,C-Trousers,2017,1,26,2017,1,26,1.05,CHINA - NINGBO,-24,-54,2,38,-24,-54,78,48,7.344,28,30
CHINA - NINGBO,C-Trousers,2016,5,26,2016,5,26,0,CHINA - NINGBO,-12,-40,14,8,-24,-24,4,67,0,7,28
CHINA - NINGBO,C-Trousers,2016,10,18,2016,10,18,10.61,CHINA - NINGBO,-8,-37,68,39,-50,-79,68,39,0,145,29
CHINA - NINGBO,C-Trousers,2016,10,21,2016,10,21,8.74,CHINA - NINGBO,-11,-42,65,34,-53,-84,65,34,10.61,3,31
CHINA - NINGBO,C-Trousers,2016,12,22,2017,12,22,10.962,CHINA - NINGBO,-73,-101,3,9,-115,-17,3,85,8.74,62,28
CHINA - NINGBO,C-Trousers,2016,12,29,2017,12,29,7.344,CHINA - NINGBO,-2,-36,3,62,-2,-30,3,72,10.962,7,34
CHINA - NINGBO,F-Sweatshirts,2017,1,11,2017,1,11,42.521,CHINA - NINGBO,-9,-37,17,55,-9,-37,93,65,38.91,20,28
CHINA - NINGBO,F-Sweatshirts,2017,1,26,2017,1,26,5.031,CHINA - NINGBO,-24,-54,2,38,-24,-54,78,48,42.521,15,30
CHINA - NINGBO,F-Sweatshirts,2016,5,26,2016,5,26,45.55,CHINA - NINGBO,-12,-40,14,8,-24,-24,4,67,58.479,7,28
CHINA - NINGBO,F-Sweatshirts,2016,7,10,2016,7,10,27.846,CHINA - NINGBO,-9,-40,68,37,-41,-72,50,19,45.55,45,31
CHINA - NINGBO,F-Sweatshirts,2016,8,17,2016,8,17,62.55,CHINA - NINGBO,-47,-75,30,2,-79,-16,12,102,27.846,38,28
CHINA - NINGBO,F-Sweatshirts,2016,8,25,2016,8,25,55.962,CHINA - NINGBO,-55,-82,22,10,-87,-23,4,95,62.55,8,27
CHINA - NINGBO,F-Sweatshirts,2016,9,8,2016,9,8,5.095,CHINA - NINGBO,-69,-96,8,4,-10,-37,108,81,55.962,14,27
CHINA - NINGBO,F-Sweatshirts,2016,10,18,2016,10,18,18.49,CHINA - NINGBO,-8,-37,68,39,-50,-79,68,39,5.095,40,29
CHINA - NINGBO,F-Sweatshirts,2016,10,21,2016,10,21,34.232,CHINA - NINGBO,-11,-42,65,34,-53,-84,65,34,18.49,3,31
CHINA - NINGBO,F-Sweatshirts,2016,12,8,2017,12,8,14.911,CHINA - NINGBO,-59,-87,17,23,-101,-3,17,99,34.232,48,28
CHINA - NINGBO,F-Sweatshirts,2016,12,22,2017,12,22,38.91,CHINA - NINGBO,-73,-101,3,9,-115,-17,3,85,14.911,14,28
CHINA - NINGBO,M-Tops,2017,1,11,2017,1,11,4.992,CHINA - NINGBO,-9,-37,17,55,-9,-37,93,65,10.5,34,28
CHINA - NINGBO,M-Tops,2017,1,26,2017,1,26,4.933,CHINA - NINGBO,-24,-54,2,38,-24,-54,78,48,4.992,15,30
CHINA - NINGBO,M-Tops,2016,6,4,2016,6,4,21.229,CHINA - NINGBO,-21,-48,5,77,-5,-32,86,59,45.884,57,27
CHINA - NINGBO,M-Tops,2016,6,16,2016,6,16,11.286,CHINA - NINGBO,-7,-35,15,64,-17,-45,74,46,21.229,12,28
CHINA - NINGBO,M-Tops,2016,6,30,2016,6,30,25.957,CHINA - NINGBO,-21,-49,1,50,-31,-59,60,32,11.286,14,28
CHINA - NINGBO,M-Tops,2016,8,25,2016,8,25,89.67,CHINA - NINGBO,-55,-82,22,10,-87,-23,4,95,25.957,56,27
CHINA - NINGBO,M-Tops,2016,12,8,2017,12,8,10.5,CHINA - NINGBO,-59,-87,17,23,-101,-3,17,99,89.67,105,28
CHINA - NINGBO,S-Shorts,2017,1,26,2017,1,26,3.192,CHINA - NINGBO,-24,-54,2,38,-24,-54,78,48,19.79,28,30
CHINA - NINGBO,Y-Skirts,2017,1,11,2017,1,11,5.717,CHINA - NINGBO,-9,-37,17,55,-9,-37,93,65,18.005,125,28
CHINA - QINGDAO,D-Jackets,2017,1,7,2017,1,7,20.36,CHINA - QINGDAO,-5,-36,21,56,-5,-36,97,66,8.26,116,31
CHINA - QINGDAO,D-Jackets,2017,1,17,2017,1,17,11.9,CHINA - QINGDAO,-15,-54,11,38,-15,-54,87,48,20.36,10,39
CHINA - QINGDAO,D-Jackets,2016,6,24,2016,6,24,46.2,CHINA - QINGDAO,-15,-47,7,52,-25,-57,66,34,78.8,33,32
CHINA - QINGDAO,D-Jackets,2016,7,7,2016,7,7,2.38,CHINA - QINGDAO,-6,-40,71,37,-38,-72,53,19,46.2,13,34
CHINA - QINGDAO,D-Jackets,2016,7,17,2016,7,17,38.62,CHINA - QINGDAO,-16,-45,61,32,-48,-77,43,14,2.38,10,29
CHINA - QINGDAO,D-Jackets,2016,7,26,2016,7,26,18.8,CHINA - QINGDAO,-25,-58,52,19,-57,-90,34,1,38.62,9,33
CHINA - QINGDAO,D-Jackets,2016,8,2,2016,8,2,10.3,CHINA - QINGDAO,-32,-64,45,13,-64,-5,27,113,18.8,7,32
CHINA - QINGDAO,D-Jackets,2016,8,21,2016,8,21,9.643,CHINA - QINGDAO,-51,-85,26,7,-83,-26,8,92,10.3,19,34
CHINA - QINGDAO,D-Jackets,2016,8,24,2016,8,24,49.9,CHINA - QINGDAO,-54,-86,23,6,-86,-27,5,91,9.643,3,32
CHINA - QINGDAO,D-Jackets,2016,8,27,2016,8,27,29.6,CHINA - QINGDAO,-57,-89,20,3,-89,-30,2,88,49.9,3,32
CHINA - QINGDAO,D-Jackets,2016,9,13,2016,9,13,8.26,CHINA - QINGDAO,-74,-106,3,71,-15,-47,103,71,29.6,17,32
CHINA - QINGDAO,F-Sweatshirts,2017,1,17,2017,1,17,48.59,CHINA - QINGDAO,-15,-54,11,38,-15,-54,87,48,55.64,143,39
CHINA - QINGDAO,F-Sweatshirts,2017,2,17,2017,2,17,24.2,CHINA - QINGDAO,-17,-48,46,15,-46,-77,56,25,48.59,31,31
CHINA - QINGDAO,F-Sweatshirts,2017,2,26,2017,2,26,4.68,CHINA - QINGDAO,-26,-58,37,5,-55,-87,47,15,24.2,9,32
CHINA - QINGDAO,F-Sweatshirts,2016,7,26,2016,7,26,9.36,CHINA - QINGDAO,-25,-58,52,19,-57,-90,34,1,18.8,32,33
CHINA - QINGDAO,F-Sweatshirts,2016,8,27,2016,8,27,55.64,CHINA - QINGDAO,-57,-89,20,3,-89,-30,2,88,9.36,32,32
CHINA - QINGDAO,I-Knitwear,2017,1,7,2017,1,7,2.85,CHINA - QINGDAO,-5,-33,21,59,-5,-33,97,69,62.92,11,28
CHINA - QINGDAO,I-Knitwear,2017,1,7,2017,1,7,7.1,CHINA - QINGDAO,-5,-33,21,59,-5,-33,97,69,62.92,11,31
CHINA - QINGDAO,I-Knitwear,2017,1,8,2017,1,8,18.95,CHINA - QINGDAO,-6,-44,20,48,-6,-44,96,58,7.1,1,38
CHINA - QINGDAO,I-Knitwear,2017,1,8,2017,1,8,18.95,CHINA - QINGDAO,-6,-44,20,48,-6,-44,96,58,2.85,1,38
CHINA - QINGDAO,I-Knitwear,2017,1,26,2017,1,26,25.502,CHINA - QINGDAO,-24,-66,2,26,-24,-66,78,36,18.95,18,42
CHINA - QINGDAO,I-Knitwear,2016,5,8,2016,5,8,218.58,CHINA - QINGDAO,-6,-35,6,3,-6,-7,22,84,149.48,7,29
CHINA - QINGDAO,I-Knitwear,2016,5,12,2016,5,12,96.16,CHINA - QINGDAO,-10,-41,2,19,-10,-13,18,78,218.58,4,31
CHINA - QINGDAO,I-Knitwear,2016,5,29,2016,5,29,0,CHINA - QINGDAO,-15,-48,11,77,-27,-32,1,59,96.16,17,33
CHINA - QINGDAO,I-Knitwear,2016,6,5,2016,6,5,43.82,CHINA - QINGDAO,-22,-54,4,71,-6,-38,85,53,0,7,32
CHINA - QINGDAO,I-Knitwear,2016,6,12,2016,6,12,25.07,CHINA - QINGDAO,-3,-35,19,64,-13,-45,78,46,43.82,7,32
CHINA - QINGDAO,I-Knitwear,2016,6,24,2016,6,24,115.66,CHINA - QINGDAO,-15,-47,7,52,-25,-57,66,34,25.07,12,32
CHINA - QINGDAO,I-Knitwear,2016,7,7,2016,7,7,188.07,CHINA - QINGDAO,-6,-40,71,37,-38,-72,53,19,115.66,13,34
CHINA - QINGDAO,I-Knitwear,2016,7,11,2016,7,11,111.499,CHINA - QINGDAO,-10,-40,67,37,-42,-72,49,19,188.07,4,30
CHINA - QINGDAO,I-Knitwear,2016,7,17,2016,7,17,169.23,CHINA - QINGDAO,-16,-45,61,32,-48,-77,43,14,111.499,6,29
CHINA - QINGDAO,I-Knitwear,2016,7,26,2016,7,26,109.36,CHINA - QINGDAO,-25,-58,52,19,-57,-90,34,1,169.23,9,33
CHINA - QINGDAO,I-Knitwear,2016,8,2,2016,8,2,96.475,CHINA - QINGDAO,-32,-64,45,13,-64,-5,27,113,109.36,7,32
CHINA - QINGDAO,I-Knitwear,2016,8,7,2016,8,7,55.596792,CHINA - QINGDAO,-37,-68,40,9,-69,-9,22,109,96.475,5,31
CHINA - QINGDAO,I-Knitwear,2016,8,9,2016,8,9,155.056,CHINA - QINGDAO,-39,-71,38,6,-71,-12,20,106,55.596792,2,32
CHINA - QINGDAO,I-Knitwear,2016,8,21,2016,8,21,24.42,CHINA - QINGDAO,-51,-85,26,7,-83,-26,8,92,155.056,12,34
CHINA - QINGDAO,I-Knitwear,2016,8,24,2016,8,24,301.47,CHINA - QINGDAO,-54,-86,23,6,-86,-27,5,91,24.42,3,32
CHINA - QINGDAO,I-Knitwear,2016,8,27,2016,8,27,132.72,CHINA - QINGDAO,-57,-89,20,3,-89,-30,2,88,301.47,3,32
CHINA - QINGDAO,I-Knitwear,2016,9,3,2016,9,3,120.99,CHINA - QINGDAO,-64,-94,13,6,-5,-35,113,83,132.72,7,30
CHINA - QINGDAO,I-Knitwear,2016,9,4,2016,9,4,21.03,CHINA - QINGDAO,-65,-96,12,4,-6,-37,112,81,120.99,1,31
CHINA - QINGDAO,I-Knitwear,2016,9,6,2016,9,6,220.82,CHINA - QINGDAO,-67,-99,10,1,-8,-40,110,78,21.03,2,32
CHINA - QINGDAO,I-Knitwear,2016,9,8,2016,9,8,146.18,CHINA - QINGDAO,-69,-100,8,1,-10,-41,108,77,220.82,2,31
CHINA - QINGDAO,I-Knitwear,2016,9,10,2016,9,10,60.84,CHINA - QINGDAO,-71,-103,6,74,-12,-44,106,74,146.18,2,32
CHINA - QINGDAO,I-Knitwear,2016,9,13,2016,9,13,7.53,CHINA - QINGDAO,-74,-106,3,71,-15,-47,103,71,60.84,3,32
CHINA - QINGDAO,I-Knitwear,2016,9,18,2016,9,18,91.3,CHINA - QINGDAO,-2,-36,13,64,-20,-54,98,64,7.53,5,34
CHINA - QINGDAO,I-Knitwear,2016,12,3,2017,12,3,9.9,CHINA - QINGDAO,-54,-87,22,23,-96,-3,22,99,91.3,76,33
CHINA - QINGDAO,I-Knitwear,2016,12,11,2017,12,11,172.41,CHINA - QINGDAO,-62,-96,14,14,-104,-12,14,90,9.9,8,34
CHINA - QINGDAO,I-Knitwear,2016,12,17,2017,12,17,12.12,CHINA - QINGDAO,-68,-101,8,9,-110,-17,8,85,172.41,6,33
CHINA - QINGDAO,I-Knitwear,2016,12,27,2017,12,27,62.92,CHINA - QINGDAO,0,-36,5,62,0,-30,5,72,12.12,10,36
CHINA - QINGDAO,M-Tops,2016,12,3,2017,12,3,10.6,CHINA - QINGDAO,-54,-87,22,23,-96,-3,22,99,3,101,33
CHINA - SHANGHAI,C-Trousers,2017,1,22,2017,1,22,9.89,CHINA - SHANGHAI,-20,-54,6,38,-20,-54,82,48,7.004,33,34
CHINA - SHANGHAI,C-Trousers,2017,1,24,2017,1,24,84.238,CHINA - SHANGHAI,-22,-66,4,26,-22,-66,80,36,9.89,2,44
CHINA - SHANGHAI,C-Trousers,2017,2,1,2017,2,1,41.154,CHINA - SHANGHAI,-1,-37,62,26,-30,-66,72,36,84.238,8,36
CHINA - SHANGHAI,C-Trousers,2017,3,14,2017,3,14,6.258,CHINA - SHANGHAI,-42,-72,21,1,-71,-101,31,1,41.154,41,30
CHINA - SHANGHAI,C-Trousers,2016,5,15,2016,5,15,9.58,CHINA - SHANGHAI,-1,-29,25,19,-13,-13,15,78,14.826,42,28
CHINA - SHANGHAI,C-Trousers,2016,6,28,2016,6,28,22.69,CHINA - SHANGHAI,-19,-49,3,50,-29,-59,62,32,9.58,44,30
CHINA - SHANGHAI,C-Trousers,2016,7,13,2016,7,13,13.79,CHINA - SHANGHAI,-12,-40,65,37,-44,-72,47,19,22.69,15,28
CHINA - SHANGHAI,C-Trousers,2016,8,9,2016,8,9,4.482,CHINA - SHANGHAI,-39,-68,38,9,-71,-9,20,109,13.79,27,29
CHINA - SHANGHAI,C-Trousers,2016,8,10,2016,8,10,4.482,CHINA - SHANGHAI,-40,-68,37,9,-72,-9,19,109,4.482,1,28
CHINA - SHANGHAI,C-Trousers,2016,8,24,2016,8,24,28.3,CHINA - SHANGHAI,-54,-82,23,10,-86,-23,5,95,4.482,14,28
CHINA - SHANGHAI,C-Trousers,2016,9,6,2016,9,6,18.25,CHINA - SHANGHAI,-67,-96,10,4,-8,-37,110,81,28.3,13,29
CHINA - SHANGHAI,C-Trousers,2016,9,20,2016,9,20,8.82,CHINA - SHANGHAI,-4,-32,11,68,-22,-50,96,68,18.25,14,28
